,Accuracy,F1,Precision,Recall,Precision-Recall Curve
id_237,0.9396167993545532,0.9635055065155029,0.9791348576545715,0.9483672380447388,"(tensor([0.8405, 0.9791, 1.0000]), tensor([1.0000, 0.9484, 0.0000]), tensor([0., 1.]))"
id_99,0.9397203326225281,0.9635521173477173,0.9796256422996521,0.947997510433197,"(tensor([0.8405, 0.9796, 1.0000]), tensor([1.0000, 0.9480, 0.0000]), tensor([0., 1.]))"
id_276,0.9403417706489563,0.963723361492157,0.9855725765228271,0.9428219199180603,"(tensor([0.8405, 0.9856, 1.0000]), tensor([1.0000, 0.9428, 0.0000]), tensor([0., 1.]))"
id_213,0.9398239254951477,0.9637938737869263,0.9749117493629456,0.9529266953468323,"(tensor([0.8405, 0.9749, 1.0000]), tensor([1.0000, 0.9529, 0.0000]), tensor([0., 1.]))"
id_181,0.9403417706489563,0.9638509154319763,0.9820948839187622,0.9462723135948181,"(tensor([0.8405, 0.9821, 1.0000]), tensor([1.0000, 0.9463, 0.0000]), tensor([0., 1.]))"
id_111,0.9404453635215759,0.9638569355010986,0.9837054014205933,0.9447935819625854,"(tensor([0.8405, 0.9837, 1.0000]), tensor([1.0000, 0.9448, 0.0000]), tensor([0., 1.]))"
id_249,0.9403417706489563,0.9638916254043579,0.9809876084327698,0.9473813772201538,"(tensor([0.8405, 0.9810, 1.0000]), tensor([1.0000, 0.9474, 0.0000]), tensor([0., 1.]))"
id_49,0.94075608253479,0.9639161825180054,0.9874628186225891,0.9414663910865784,"(tensor([0.8405, 0.9875, 1.0000]), tensor([1.0000, 0.9415, 0.0000]), tensor([0., 1.]))"
id_315,0.9401346445083618,0.9639919996261597,0.9748015403747559,0.95341956615448,"(tensor([0.8405, 0.9748, 1.0000]), tensor([1.0000, 0.9534, 0.0000]), tensor([0., 1.]))"
id_358,0.9404453635215759,0.9642301797866821,0.9736180901527405,0.9550215601921082,"(tensor([0.8405, 0.9736, 1.0000]), tensor([1.0000, 0.9550, 0.0000]), tensor([0., 1.]))"
id_14,0.9410668015480042,0.9642879962921143,0.9826042652130127,0.9466420412063599,"(tensor([0.8405, 0.9826, 1.0000]), tensor([1.0000, 0.9466, 0.0000]), tensor([0., 1.]))"
id_113,0.9408596754074097,0.9645803570747375,0.9711466431617737,0.958102285861969,"(tensor([0.8405, 0.9711, 1.0000]), tensor([1.0000, 0.9581, 0.0000]), tensor([0., 1.]))"
