,0
[feature-73]_ANGLE_[LWrist-LHipLAnkle]_[frame-0],1.7793774538604141
[feature-74]_ANGLE_[LWrist-LHipRAnkle]_[frame-0],3.2014611194753733
[feature-75]_ANGLE_[LWrist-RHipLKnee]_[frame-0],13.94795287809164
[feature-76]_ANGLE_[LWrist-RHipRKnee]_[frame-0],9.589094235367973
[feature-77]_ANGLE_[LWrist-RHipLAnkle]_[frame-0],14.162555561058683
[feature-78]_ANGLE_[LWrist-RHipRAnkle]_[frame-0],12.740471895443848
[feature-79]_ANGLE_[LWrist-LKneeRKnee]_[frame-0],4.358858642723715
[feature-80]_ANGLE_[LWrist-LKneeLAnkle]_[frame-0],0.21460268296414664
[feature-81]_ANGLE_[LWrist-LKneeRAnkle]_[frame-0],1.2074809826474002
[feature-82]_ANGLE_[LWrist-RKneeLAnkle]_[frame-0],4.573461325690778
[feature-83]_ANGLE_[LWrist-RKneeRAnkle]_[frame-0],3.1513776600758727
[feature-84]_ANGLE_[LWrist-LAnkleRAnkle]_[frame-0],1.4220836656151092
[feature-85]_ANGLE_[RWrist-LHipRHip]_[frame-0],7.383111963223748
[feature-86]_ANGLE_[RWrist-LHipLKnee]_[frame-0],48.056275397254836
[feature-87]_ANGLE_[RWrist-LHipRKnee]_[frame-0],55.96204250584174
[feature-88]_ANGLE_[RWrist-LHipLAnkle]_[frame-0],63.71256952277448
[feature-89]_ANGLE_[RWrist-LHipRAnkle]_[frame-0],67.18369567100933
[feature-90]_ANGLE_[RWrist-RHipLKnee]_[frame-0],40.673163434031125
[feature-91]_ANGLE_[RWrist-RHipRKnee]_[frame-0],48.57893054261805
[feature-92]_ANGLE_[RWrist-RHipLAnkle]_[frame-0],56.32945755955077
[feature-93]_ANGLE_[RWrist-RHipRAnkle]_[frame-0],59.80058370778563
[feature-94]_ANGLE_[RWrist-LKneeRKnee]_[frame-0],7.905767108586948
[feature-95]_ANGLE_[RWrist-LKneeLAnkle]_[frame-0],15.656294125519663
[feature-96]_ANGLE_[RWrist-LKneeRAnkle]_[frame-0],19.12742027375453
[feature-97]_ANGLE_[RWrist-RKneeLAnkle]_[frame-0],7.750527016932791
[feature-98]_ANGLE_[RWrist-RKneeRAnkle]_[frame-0],11.221653165167629
[feature-99]_ANGLE_[RWrist-LAnkleRAnkle]_[frame-0],3.4711261482348243
[feature-100]_ANGLE_[LHip-RHipLKnee]_[frame-0],81.08152480936182
[feature-101]_ANGLE_[LHip-RHipRKnee]_[frame-0],70.24559046784735
[feature-102]_ANGLE_[LHip-RHipLAnkle]_[frame-0],82.99631086940639
[feature-103]_ANGLE_[LHip-RHipRAnkle]_[frame-0],80.5373799296633
[feature-104]_ANGLE_[LHip-LKneeRKnee]_[frame-0],10.835934341514417
[feature-105]_ANGLE_[LHip-LKneeLAnkle]_[frame-0],1.9147860600442776
[feature-106]_ANGLE_[LHip-LKneeRAnkle]_[frame-0],0.544144879698612
[feature-107]_ANGLE_[LHip-RKneeLAnkle]_[frame-0],12.750720401559004
[feature-108]_ANGLE_[LHip-RKneeRAnkle]_[frame-0],10.291789461815974
[feature-109]_ANGLE_[LHip-LAnkleRAnkle]_[frame-0],2.4589309397430923
[feature-110]_ANGLE_[RHip-LKneeRKnee]_[frame-0],11.259110658111247
[feature-111]_ANGLE_[RHip-LKneeLAnkle]_[frame-0],10.439026656188426
[feature-112]_ANGLE_[RHip-LKneeRAnkle]_[frame-0],13.730689690830133
[feature-113]_ANGLE_[RHip-RKneeLAnkle]_[frame-0],0.8200840019231573
[feature-114]_ANGLE_[RHip-RKneeRAnkle]_[frame-0],2.471579032718853
[feature-115]_ANGLE_[RHip-LAnkleRAnkle]_[frame-0],3.291663034641719
[feature-116]_ANGLE_[LKnee-RKneeLAnkle]_[frame-0],82.76840257461977
[feature-117]_ANGLE_[LKnee-RKneeRAnkle]_[frame-0],77.64228754261676
[feature-118]_ANGLE_[LKnee-LAnkleRAnkle]_[frame-0],5.1261150320029465
[feature-119]_ANGLE_[RKnee-LAnkleRAnkle]_[frame-0],6.691246669012625
[feature-120]_ANGLE_[LShoulder-RShoulderLWrist]_[frame-1],65.11132172809627
[feature-121]_ANGLE_[LShoulder-RShoulderRWrist]_[frame-1],50.221016471355036
[feature-122]_ANGLE_[LShoulder-RShoulderLHip]_[frame-1],82.77396487876315
[feature-123]_ANGLE_[LShoulder-RShoulderRHip]_[frame-1],65.58613232876529
[feature-124]_ANGLE_[LShoulder-RShoulderLKnee]_[frame-1],81.99486622499137
[feature-125]_ANGLE_[LShoulder-RShoulderRKnee]_[frame-1],77.70100660064026
[feature-126]_ANGLE_[LShoulder-RShoulderLAnkle]_[frame-1],82.24861642898152
[feature-127]_ANGLE_[LShoulder-RShoulderRAnkle]_[frame-1],82.32320667616152
[feature-128]_ANGLE_[LShoulder-LWristRWrist]_[frame-1],115.3323381994513
[feature-129]_ANGLE_[LShoulder-LWristLHip]_[frame-1],147.8852866068594
[feature-130]_ANGLE_[LShoulder-LWristRHip]_[frame-1],130.69745405686155
[feature-131]_ANGLE_[LShoulder-LWristLKnee]_[frame-1],147.1061879530876
[feature-132]_ANGLE_[LShoulder-LWristRKnee]_[frame-1],142.8123283287365
[feature-133]_ANGLE_[LShoulder-LWristLAnkle]_[frame-1],147.35993815707778
[feature-134]_ANGLE_[LShoulder-LWristRAnkle]_[frame-1],147.43452840425778
[feature-135]_ANGLE_[LShoulder-RWristLHip]_[frame-1],32.55294840740811
[feature-136]_ANGLE_[LShoulder-RWristRHip]_[frame-1],15.36511585741026
[feature-137]_ANGLE_[LShoulder-RWristLKnee]_[frame-1],31.773849753636323
[feature-138]_ANGLE_[LShoulder-RWristRKnee]_[frame-1],27.479990129285188
[feature-139]_ANGLE_[LShoulder-RWristLAnkle]_[frame-1],32.02759995762647
[feature-140]_ANGLE_[LShoulder-RWristRAnkle]_[frame-1],32.102190204806476
[feature-141]_ANGLE_[LShoulder-LHipRHip]_[frame-1],17.18783254999786
[feature-142]_ANGLE_[LShoulder-LHipLKnee]_[frame-1],0.7790986537713588
[feature-143]_ANGLE_[LShoulder-LHipRKnee]_[frame-1],5.072958278122785
[feature-144]_ANGLE_[LShoulder-LHipLAnkle]_[frame-1],0.5253484497803576
[feature-145]_ANGLE_[LShoulder-LHipRAnkle]_[frame-1],0.4507582026012145
[feature-146]_ANGLE_[LShoulder-RHipLKnee]_[frame-1],16.408733896226103
[feature-147]_ANGLE_[LShoulder-RHipRKnee]_[frame-1],12.114874271875001
[feature-148]_ANGLE_[LShoulder-RHipLAnkle]_[frame-1],16.662484100216258
[feature-149]_ANGLE_[LShoulder-RHipRAnkle]_[frame-1],16.737074347396273
[feature-150]_ANGLE_[LShoulder-LKneeRKnee]_[frame-1],4.293859624350913
[feature-151]_ANGLE_[LShoulder-LKneeLAnkle]_[frame-1],0.25375020398813247
[feature-152]_ANGLE_[LShoulder-LKneeRAnkle]_[frame-1],0.32834045117029476
[feature-153]_ANGLE_[LShoulder-RKneeLAnkle]_[frame-1],4.547609828341075
[feature-154]_ANGLE_[LShoulder-RKneeRAnkle]_[frame-1],4.622200075521184
[feature-155]_ANGLE_[LShoulder-LAnkleRAnkle]_[frame-1],0.07459024718208392
[feature-156]_ANGLE_[RShoulder-LWristRWrist]_[frame-1],118.30616558441412
[feature-157]_ANGLE_[RShoulder-LWristLHip]_[frame-1],81.91209917201694
[feature-158]_ANGLE_[RShoulder-LWristRHip]_[frame-1],99.52542887739368
[feature-159]_ANGLE_[RShoulder-LWristLKnee]_[frame-1],94.32485561583164
[feature-160]_ANGLE_[RShoulder-LWristRKnee]_[frame-1],98.82509365586596
[feature-161]_ANGLE_[RShoulder-LWristLAnkle]_[frame-1],98.64433082837999
[feature-162]_ANGLE_[RShoulder-LWristRAnkle]_[frame-1],99.14073591360092
[feature-163]_ANGLE_[RShoulder-RWristLHip]_[frame-1],36.39406641239718
[feature-164]_ANGLE_[RShoulder-RWristRHip]_[frame-1],18.78073670702044
